ID,Uid,age,sex,labor,repic_sid,best_weight,last_weight
24,25,24,女,轻,112:108:944:1:919:583:629:871:116:215:735:479:705:827,9.0:51.0:50.0:198.0:80.0:52.0:62.0:300.0:51.0:389.0:10.0:213.0:17.0:46.0,10.0:100.0:44.0:150.0:50.0:9.0:10.0:300.0:15.0:501.0:53.0:340.0:10.0:10.0
25,26,20,女,轻,930:940:728:925:625:1:460:587:905:871:166:820:810:338:200:96:108,10.0:37.0:24.0:50.0:25.0:149.0:37.0:279.0:18.0:282.0:10.0:40.0:10.0:35.0:348.0:67.0:33.0,16.0:24.0:20.0:50.0:25.0:148.0:37.0:279.0:52.0:249.0:10.0:27.0:10.0:23.0:348.0:62.0:39.0
26,27,45,女,中,908:927:78:48:830:810:205:222:791:667:871:887:659:621:990:470:536:117:118:100,30.0:19.0:104.0:47.0:10.0:10.0:139.0:280.0:10.0:30.0:160.0:140.0:9.0:9.0:40.0:168.0:181.0:9.0:9.0:101.0,30.0:19.0:72.0:78.0:10.0:10.0:139.0:280.0:10.0:30.0:207.0:93.0:9.0:9.0:40.0:168.0:181.0:9.0:9.0:101.0
27,28,28,男,重,200:1061:21:7:957:682:693:883:871:919:94:110:815:661:119:139:598,308.0:52.0:141.0:9.0:10.0:25.0:9.0:264.0:35.0:40.0:57.0:85.0:189.0:153.0:141.0:9.0:285.0,500.0:11.0:141.0:10.0:29.0:10.0:54.0:44.0:255.0:51.0:9.0:94.0:10.0:14.0:10.0:11.0:267.0
28,29,37,男,重,12:114:56:444:820:857:909:919:622:624:881:100:398:218:929:690,193.0:9.0:9.0:200.0:9.0:111.0:85.0:9.0:114.0:39.0:300.0:133.0:146.0:292.0:299.0:9.0,140.0:10.0:10.0:350.0:10.0:55.0:10.0:40.0:10.0:15.0:300.0:101.0:10.0:490.0:45.0:10.0
29,30,37,男,重,886:13:458:276:86:669:175:191:667:120:921:990:953:917:98:94:660:819,294.0:84.0:351.0:80.0:65.0:29.0:30.0:292.0:19.0:9.0:9.0:34.0:32.0:150.0:56.0:44.0:96.0:15.0,300.0:10.0:351.0:201.0:139.0:10.0:10.0:285.0:10.0:15.0:10.0:10.0:64.0:37.0:82.0:17.0:10.0:45.0
30,31,31,女,中,910:883:667:970:311:727:101:126:886:621:813:810:15:480,40.0:50.0:71.0:61.0:467.0:136.0:84.0:9.0:303.0:197.0:32.0:9.0:165.0:200.0,51.0:291.0:46.0:40.0:417.0:9.0:100.0:10.0:9.0:25.0:9.0:9.0:151.0:350.0
31,32,38,男,中,127:676:911:196:870:908:246:500:32:133:842:820:623:103:937,9.0:94.0:9.0:366.0:300.0:90.0:129.0:266.0:275.0:9.0:71.0:28.0:77.0:50.0:56.0,9.0:43.0:10.0:298.0:300.0:40.0:92.0:351.0:151.0:9.0:10.0:10.0:16.0:101.0:40.0
32,33,20,男,中,94:667:558:1031:872:654:131:123:927:196:822:51,50.0:125.0:202.0:40.0:300.0:66.0:66.0:9.0:95.0:426.0:177.0:245.0,100.0:83.0:272.0:75.0:310.0:15.0:10.0:10.0:50.0:501.0:9.0:165.0
33,34,20,女,中,926:953:868:630:63:635:110:3:673:713:956:184:870:525:208,43.0:42.0:10.0:9.0:132.0:20.0:100.0:17.0:40.0:10.0:10.0:16.0:300.0:272.0:368.0,40.0:10.0:18.0:10.0:119.0:14.0:100.0:30.0:10.0:42.0:57.0:10.0:300.0:235.0:335.0
34,35,40,女,中,681:94:219:809:951:463:98:622:640:875:556:887:130:119:36:34:908,10.0:77.0:422.0:54.0:62.0:281.0:23.0:9.0:9.0:84.0:61.0:217.0:9.0:9.0:75.0:75.0:50.0,21.0:91.0:380.0:52.0:58.0:226.0:11.0:9.0:9.0:163.0:124.0:138.0:9.0:9.0:140.0:11.0:50.0
35,36,37,女,轻,800:453:931:39:534:620:121:94:627:933:131:896:835:187:914,42.0:113.0:48.0:149.0:236.0:9.0:9.0:101.0:9.0:10.0:9.0:256.0:14.0:403.0:39.0,24.0:16.0:29.0:150.0:332.0:9.0:9.0:101.0:9.0:11.0:9.0:296.0:35.0:394.0:39.0
36,37,44,女,中,856:620:929:33:112:809:137:544:481:99:915:928:876:677:191,45.0:9.0:63.0:150.0:15.0:10.0:9.0:17.0:278.0:100.0:10.0:40.0:143.0:20.0:300.0,10.0:13.0:40.0:143.0:12.0:33.0:10.0:248.0:66.0:100.0:10.0:40.0:148.0:24.0:424.0
37,38,28,男,轻,919:930:63:914:83:929:818:891:122:119:444:471:103:632:641:678:696:212,19.0:22.0:140.0:21.0:10.0:39.0:10.0:140.0:9.0:9.0:16.0:334.0:100.0:8.0:9.0:10.0:55.0:313.0,33.0:15.0:104.0:10.0:45.0:25.0:10.0:156.0:9.0:9.0:90.0:218.0:100.0:9.0:9.0:9.0:41.0:299.0
38,39,43,女,中,448:91:445:830:111:940:873:667:674:620:186:98:230:870:141:921:914,85.0:148.0:236.0:19.0:88.0:53.0:50.0:53.0:57.0:9.0:138.0:12.0:274.0:251.0:106.0:9.0:45.0,297.0:150.0:52.0:9.0:91.0:40.0:223.0:55.0:9.0:25.0:138.0:10.0:236.0:76.0:10.0:40.0:10.0
39,40,40,男,重,298:868:40:12:120:178:630:287:908:96:521:918:575:95:675:903:932,139.0:15.0:10.0:141.0:10.0:15.0:9.0:161.0:11.0:90.0:194.0:39.0:95.0:10.0:44.0:154.0:64.0,176.0:28.0:9.0:143.0:10.0:10.0:9.0:132.0:31.0:90.0:10.0:14.0:321.0:9.0:12.0:299.0:64.0
40,41,38,女,中,961:1:811:31:870:875:810:599:691:152:97:95:261:202:652:910,68.0:76.0:10.0:76.0:290.0:10.0:10.0:299.0:55.0:62.0:59.0:42.0:241.0:177.0:13.0:69.0,39.0:57.0:16.0:92.0:9.0:291.0:10.0:317.0:48.0:10.0:90.0:10.0:172.0:190.0:26.0:50.0
41,42,44,女,重,483:7:680:120:877:858:97:830:625:95:627:873:556:211:203:916:945:1002,36.0:150.0:10.0:15.0:135.0:47.0:9.0:10.0:10.0:90.0:10.0:164.0:314.0:228.0:175.0:39.0:65.0:10.0,36.0:148.0:10.0:15.0:135.0:47.0:10.0:10.0:10.0:92.0:10.0:165.0:314.0:228.0:175.0:40.0:65.0:10.0
42,43,31,女,轻,195:74:876:840:94:125:113:829:632:521:446:978:722:909:926,399.0:119.0:156.0:15.0:124.0:10.0:15.0:15.0:9.0:10.0:274.0:40.0:10.0:40.0:10.0,299.0:128.0:141.0:10.0:101.0:10.0:10.0:33.0:9.0:41.0:204.0:40.0:10.0:40.0:10.0
43,44,18,男,中,908:198:932:622:810:920:668:737:874:891:62:14:531:123:107,57.0:331.0:61.0:20.0:10.0:9.0:40.0:10.0:179.0:120.0:20.0:131.0:276.0:10.0:101.0,10.0:412.0:40.0:10.0:10.0:40.0:50.0:10.0:226.0:74.0:48.0:102.0:269.0:25.0:100.0
44,45,25,男,轻,809:810:878:903:934:12:63:789:644:620:197:447:102:914:908:160,34.0:30.0:206.0:82.0:59.0:9.0:158.0:10.0:10.0:15.0:183.0:209.0:80.0:30.0:11.0:10.0,10.0:33.0:60.0:236.0:40.0:11.0:141.0:10.0:10.0:10.0:270.0:200.0:98.0:12.0:38.0:10.0
45,46,28,男,中,633:461:455:945:826:840:669:912:922:103:12:58:252:112:901,10.0:146.0:204.0:59.0:9.0:59.0:9.0:10.0:40.0:100.0:100.0:51.0:348.0:25.0:145.0,10.0:327.0:15.0:75.0:10.0:20.0:10.0:40.0:10.0:99.0:10.0:141.0:406.0:21.0:299.0
46,47,26,男,中,893:905:215:675:472:668:158:123:1019:631:21:821:814:99:911,62.0:238.0:363.0:10.0:348.0:33.0:9.0:15.0:75.0:9.0:150.0:10.0:22.0:100.0:50.0,61.0:238.0:363.0:10.0:348.0:33.0:10.0:15.0:75.0:10.0:150.0:10.0:22.0:101.0:50.0
47,48,43,女,轻,941:933:640:38:13:119:458:460:896:98:207:677:832:921:918,65.0:9.0:10.0:140.0:10.0:25.0:77.0:221.0:239.0:101.0:403.0:26.0:14.0:9.0:31.0,33.0:39.0:9.0:79.0:73.0:16.0:102.0:133.0:292.0:101.0:300.0:23.0:17.0:10.0:30.0
48,49,31,女,轻,243:726:129:909:94:910:141:500:738:188:871:881:813:810:1046:1:24:623,208.0:123.0:10.0:10.0:100.0:40.0:15.0:259.0:9.0:291.0:17.0:281.0:45.0:43.0:73.0:73.0:78.0:10.0,222.0:45.0:10.0:31.0:100.0:18.0:11.0:350.0:10.0:208.0:11.0:288.0:10.0:10.0:40.0:143.0:9.0:14.0
49,50,40,男,中,18:889:631:500:881:134:912:220:943:256:7:815:830:105:785:688,119.0:159.0:25.0:325.0:142.0:10.0:50.0:44.0:74.0:332.0:32.0:25.0:9.0:101.0:9.0:120.0,141.0:212.0:12.0:304.0:88.0:23.0:50.0:96.0:54.0:254.0:11.0:10.0:45.0:100.0:10.0:10.0
50,51,21,女,中,871:672:31:734:913:909:653:1:961:141:113:97:248:815:459,300.0:35.0:136.0:97.0:10.0:40.0:9.0:14.0:64.0:54.0:182.0:100.0:385.0:9.0:200.0,301.0:26.0:141.0:36.0:9.0:40.0:10.0:10.0:70.0:15.0:10.0:100.0:404.0:12.0:351.0
51,52,24,男,轻,822:816:185:941:885:622:631:679:684:125:112:27:909:911:495:95:97,41.0:9.0:472.0:61.0:300.0:59.0:29.0:9.0:50.0:9.0:9.0:119.0:10.0:40.0:343.0:120.0:9.0,25.0:10.0:472.0:54.0:300.0:9.0:9.0:10.0:29.0:9.0:9.0:151.0:10.0:40.0:351.0:91.0:9.0
52,53,32,男,中,694:685:42:622:86:276:238:955:939:921:447:583:841:905:871:121:95,10.0:10.0:118.0:25.0:32.0:281.0:182.0:10.0:32.0:41.0:89.0:185.0:39.0:285.0:17.0:10.0:101.0,10.0:10.0:120.0:25.0:30.0:281.0:182.0:10.0:32.0:40.0:89.0:185.0:39.0:282.0:17.0:10.0:101.0
53,54,26,女,轻,927:6:909:871:473:463:624:622:949:931:812:822:94:97:685:115:364,10.0:153.0:40.0:299.0:201.0:148.0:15.0:10.0:10.0:47.0:49.0:10.0:53.0:48.0:10.0:10.0:432.0,40.0:150.0:10.0:300.0:341.0:9.0:15.0:10.0:10.0:47.0:36.0:10.0:20.0:79.0:10.0:10.0:496.0
54,55,40,女,重,1065:738:914:810:666:646:115:23:96:468:390:875,71.0:18.0:56.0:48.0:9.0:9.0:210.0:150.0:100.0:306.0:340.0:300.0,40.0:10.0:49.0:35.0:10.0:10.0:15.0:150.0:100.0:271.0:396.0:318.0
55,56,36,女,中,185:620:878:109:461:8:164:120:492:927:910:667:930:833:817,398.0:11.0:160.0:101.0:340.0:137.0:14.0:10.0:10.0:10.0:40.0:11.0:40.0:10.0:37.0,398.0:11.0:162.0:100.0:340.0:142.0:14.0:10.0:10.0:10.0:40.0:11.0:39.0:10.0:37.0
56,57,32,男,中,104:99:870:838:552:4:120:909:644:621:340:197:1026:672,48.0:54.0:300.0:31.0:259.0:150.0:9.0:40.0:16.0:9.0:221.0:172.0:55.0:41.0,48.0:54.0:300.0:18.0:286.0:149.0:10.0:50.0:15.0:10.0:221.0:153.0:75.0:44.0
57,58,22,男,中,1011:994:127:1:108:669:13:668:95:839:398:205:909:878:907:644:589,10.0:35.0:25.0:63.0:10.0:10.0:87.0:10.0:90.0:52.0:165.0:265.0:50.0:65.0:160.0:10.0:200.0,10.0:36.0:25.0:63.0:90.0:10.0:87.0:10.0:10.0:53.0:16.0:343.0:50.0:104.0:170.0:10.0:198.0
58,59,26,男,重,100:447:123:41:929:675:348:1:106:622:635:311:890:840:912:908,59.0:252.0:23.0:10.0:40.0:63.0:216.0:125.0:113.0:14.0:21.0:85.0:299.0:10.0:40.0:10.0,90.0:265.0:10.0:119.0:40.0:30.0:491.0:30.0:9.0:15.0:10.0:10.0:300.0:44.0:10.0:40.0
59,60,37,女,轻,105:627:651:674:908:120:619:451:698:824:112:928:955:939:31:338:907,101.0:9.0:9.0:10.0:40.0:9.0:260.0:89.0:55.0:10.0:9.0:10.0:13.0:45.0:112.0:229.0:150.0,101.0:9.0:9.0:17.0:10.0:9.0:190.0:94.0:10.0:42.0:9.0:40.0:10.0:46.0:123.0:299.0:138.0
60,61,24,女,中,896:1:620:133:97:554:287:8:651:102:915:296:855:810:961:792,298.0:71.0:15.0:10.0:91.0:279.0:345.0:81.0:10.0:11.0:40.0:50.0:10.0:37.0:43.0:10.0,299.0:60.0:10.0:10.0:90.0:351.0:41.0:89.0:10.0:10.0:40.0:358.0:10.0:34.0:40.0:10.0
61,62,35,男,轻,94:669:942:348:845:108:920:935:871:925:677:457:478:121:627:622:34,88.0:57.0:10.0:300.0:9.0:13.0:16.0:61.0:300.0:106.0:44.0:136.0:121.0:80.0:169.0:117.0:150.0,90.0:55.0:10.0:500.0:10.0:10.0:40.0:56.0:300.0:10.0:10.0:10.0:341.0:9.0:9.0:16.0:153.0
62,63,36,女,轻,622:311:348:125:95:674:908:822:923:720:463:892:105:471:625:1008:983:73,15.0:211.0:137.0:10.0:49.0:10.0:40.0:45.0:9.0:10.0:122.0:156.0:50.0:165.0:10.0:39.0:35.0:149.0,10.0:211.0:137.0:10.0:50.0:10.0:27.0:22.0:13.0:10.0:122.0:239.0:49.0:165.0:10.0:23.0:18.0:149.0
63,64,21,男,中,832:855:94:4:908:96:87:910:558:452:399:200:124:683:745:1005:932:878:635:661,10.0:10.0:10.0:78.0:23.0:90.0:71.0:26.0:58.0:283.0:231.0:179.0:15.0:25.0:10.0:10.0:45.0:228.0:10.0:10.0,10.0:10.0:91.0:71.0:29.0:11.0:80.0:20.0:92.0:258.0:381.0:34.0:10.0:15.0:33.0:37.0:10.0:298.0:10.0:10.0
64,65,31,女,重,647:658:999:1051:109:96:812:810:885:902:189:311:928:495:116:688:679:15,10.0:10.0:10.0:41.0:51.0:51.0:10.0:10.0:160.0:139.0:285.0:195.0:40.0:291.0:15.0:10.0:24.0:150.0,10.0:10.0:10.0:49.0:91.0:11.0:10.0:26.0:180.0:119.0:284.0:143.0:40.0:350.0:10.0:10.0:17.0:150.0
65,66,39,女,重,950:874:868:992:5:627:521:636:870:527:185:196:102:924:147:156:686,29.0:186.0:28.0:30.0:150.0:69.0:136.0:14.0:114.0:138.0:85.0:316.0:100.0:49.0:9.0:9.0:32.0,39.0:47.0:10.0:10.0:150.0:9.0:108.0:9.0:254.0:157.0:296.0:86.0:101.0:50.0:9.0:9.0:51.0
66,67,37,男,重,109:948:152:1:929:909:870:810:35:389:682:228:908:809:701:634:636:493,100.0:128.0:76.0:52.0:9.0:40.0:300.0:25.0:99.0:200.0:10.0:277.0:10.0:17.0:16.0:9.0:136.0:305.0,100.0:42.0:10.0:38.0:10.0:40.0:300.0:10.0:112.0:369.0:10.0:29.0:10.0:10.0:46.0:15.0:10.0:349.0
67,68,40,女,重,830:115:633:622:101:698:27:921:207:959:881:943:94:525,10.0:29.0:20.0:62.0:73.0:65.0:150.0:45.0:361.0:31.0:300.0:43.0:27.0:288.0,10.0:15.0:10.0:10.0:90.0:65.0:150.0:49.0:300.0:57.0:300.0:10.0:10.0:350.0
68,69,44,女,重,453:531:9:106:96:916:910:812:868:620:369:735:684:870:881:118:1052,147.0:132.0:149.0:44.0:55.0:9.0:69.0:45.0:9.0:10.0:384.0:9.0:9.0:33.0:268.0:25.0:50.0,125.0:170.0:150.0:14.0:88.0:20.0:20.0:10.0:13.0:25.0:299.0:10.0:42.0:278.0:22.0:10.0:40.0
69,70,21,男,中,471:1:94:108:896:878:943:1024:117:122:909:926:669:692:850:203:327:621:620,350.0:152.0:90.0:10.0:20.0:281.0:10.0:54.0:9.0:9.0:40.0:10.0:10.0:51.0:10.0:136.0:263.0:9.0:9.0,351.0:149.0:65.0:34.0:25.0:275.0:10.0:50.0:9.0:9.0:15.0:26.0:10.0:10.0:32.0:158.0:247.0:9.0:9.0
70,71,45,男,重,455:870:276:809:622:1:349:51:913:914:930:1016:96:94:143:114:694,205.0:300.0:303.0:67.0:161.0:149.0:174.0:140.0:10.0:33.0:41.0:73.0:40.0:11.0:41.0:166.0:9.0,350.0:300.0:235.0:48.0:10.0:9.0:146.0:140.0:9.0:41.0:10.0:53.0:91.0:9.0:15.0:10.0:11.0
71,72,38,男,轻,120:871:103:826:64:620:195:918:948:637:906:254:738:94:1011:466,9.0:187.0:85.0:34.0:136.0:62.0:454.0:53.0:46.0:9.0:113.0:41.0:27.0:28.0:40.0:283.0,10.0:161.0:91.0:11.0:149.0:15.0:490.0:40.0:10.0:10.0:139.0:10.0:29.0:10.0:30.0:312.0
72,73,43,女,中,863:822:1:663:207:451:558:926:872:896:667:940:101:94:130:180,9.0:60.0:97.0:88.0:381.0:260.0:36.0:45.0:164.0:135.0:41.0:69.0:10.0:144.0:9.0:49.0,31.0:31.0:149.0:10.0:462.0:303.0:48.0:40.0:99.0:201.0:10.0:75.0:90.0:10.0:10.0:15.0
73,74,35,女,中,647:576:626:458:136:180:220:817:823:965:950:55:911:96:94:887:695,9.0:59.0:8.0:275.0:9.0:9.0:395.0:10.0:10.0:10.0:46.0:140.0:50.0:60.0:49.0:213.0:51.0,9.0:230.0:8.0:74.0:9.0:9.0:300.0:10.0:10.0:10.0:35.0:149.0:43.0:11.0:91.0:298.0:39.0
74,75,33,女,重,454:909:984:926:1049:452:813:110:630:142:135:15:690:882:202,22.0:46.0:10.0:9.0:65.0:254.0:48.0:99.0:16.0:9.0:9.0:149.0:10.0:299.0:260.0,244.0:41.0:51.0:9.0:10.0:52.0:24.0:100.0:15.0:10.0:10.0:137.0:42.0:300.0:297.0
75,76,31,女,重,871:947:910:641:627:74:868:667:870:809:112:541:456:107:353,150.0:49.0:42.0:53.0:9.0:107.0:9.0:135.0:150.0:60.0:9.0:107.0:242.0:143.0:421.0,255.0:40.0:51.0:10.0:10.0:150.0:10.0:55.0:44.0:10.0:15.0:279.0:35.0:102.0:407.0
76,77,34,女,中,908:870:622:620:884:919:776:94:135:290:448:457:930:954:11:24:826,10.0:10.0:71.0:133.0:290.0:40.0:9.0:100.0:24.0:397.0:140.0:228.0:9.0:95.0:77.0:72.0:64.0,10.0:177.0:10.0:10.0:124.0:40.0:9.0:101.0:11.0:395.0:341.0:9.0:30.0:28.0:141.0:11.0:65.0
77,78,44,女,重,923:112:1:872:634:62:959:95:927:746:620:96:186:195:810:469,9.0:9.0:129.0:240.0:105.0:10.0:57.0:9.0:106.0:9.0:9.0:169.0:317.0:29.0:71.0:347.0,10.0:10.0:10.0:300.0:10.0:139.0:75.0:94.0:40.0:10.0:15.0:9.0:162.0:265.0:38.0:350.0
78,79,35,男,中,521:931:74:631:646:444:930:908:668:746:112:154:211:201:878:101:94:869,154.0:31.0:148.0:9.0:9.0:124.0:44.0:50.0:10.0:23.0:9.0:9.0:107.0:298.0:179.0:10.0:90.0:32.0,41.0:10.0:149.0:8.0:9.0:208.0:44.0:50.0:10.0:10.0:9.0:9.0:100.0:200.0:263.0:90.0:10.0:42.0
